"","run","aic","estimate","lower_ci","upper_ci","ground","group"
"266",54,456.949604642,12066.321610768,11874.474858203,12260.6158683862,11992,"1"
"267",54,238.507368311962,1036.4447173352,980.546277586854,1094.83565761835,1037,"2"
"268",54,77.2965387930168,43.1304347826087,29.0980918266449,61.6305837195376,61,"3"
"269",54,299.540182823104,1817.0946694921,1743.88989679151,1892.70288806328,1877,"4"
"270",54,136.268498874858,182.912160368308,157.932098451116,210.815949320822,187,"5"
"271",55,458.958891770782,11889.9006109386,11700.0819432634,12082.1478046032,11773,"1"
"272",55,243.498863457735,1119.62501609794,1055.96031940197,1186.27324559649,976,"2"
"273",55,84.8135255625582,63.3890323068815,48.0033597033436,82.2369647997251,58,"3"
"274",55,308.963599351017,1863.961449357,1786.07224901698,1944.48853361814,1826,"4"
"275",55,134.597107006367,189.411685759769,163.909915109367,217.909224965459,146,"5"
"276",56,450.260538022661,11834.8165791825,11645.5300856888,12026.5269472388,12033,"1"
"277",56,259.512301637527,1030.11829235683,974.479077600973,1088.242118959,973,"2"
"278",56,80.9700265147233,58.8734676657589,43.8327485130806,77.5023144423447,56,"3"
"279",56,297.903894320247,1828.99402716687,1755.24909492399,1905.15744267968,1825,"4"
"280",56,140.805469029209,171.01336645026,147.840226786173,196.910731813923,180,"5"
"281",57,465.169257037111,12118.6581935569,11927.0517647261,12312.6972626975,11713,"1"
"282",57,244.446570409586,973.539433526733,919.710964697086,1029.86555061026,1026,"2"
"283",57,77.1583901608357,56.0987162749932,41.8466354626942,73.7426533118357,60,"3"
"284",57,295.512394729336,1878.3055657073,1803.18806213758,1955.87148133554,1832,"4"
"285",57,136.199551218465,194.97827609973,169.779630313342,223.057197748763,184,"5"
"286",58,453.804865074484,11941.3721767891,11751.2801429947,12133.8902713892,11968,"1"
"287",58,256.990485297054,1035.11696513708,979.135496530058,1093.58969013776,1017,"2"
"288",58,81.1185070426804,53.1549633940272,37.2901922131913,73.6769256153406,68,"3"
"289",58,299.371135445436,1832.81917039548,1759.44493729381,1908.58871552328,1896,"4"
"290",58,151.775986209618,184.018760170147,160.652114034882,209.946157063684,205,"5"
