iteration,aic,estimate,lower_ci,upper_ci,ground,group,corr,obf,pct_diff
3,243.885919,3.367933412,2.245964635,4.970114559,2,91_100,TRUE,FALSE,-68.39667061
3,730.6620619,4760.378578,4665.853797,4856.607046,4857,base,TRUE,FALSE,1.98932308
3,656.9484692,1913.643709,1851.819523,1977.29192,1853,Female,TRUE,TRUE,-3.272731219
3,698.831792,2913.445478,2839.20978,2989.40695,2970,Male,TRUE,TRUE,1.904192667
3,409.1094199,37.46275104,32.27773082,43.36788618,39,Asian/PI,TRUE,TRUE,3.94166399
3,541.0315636,287.6710537,268.0265692,308.6105246,292,Black,TRUE,TRUE,1.482515869
3,589.6971519,497.7554893,469.071725,528.0082945,491,Hispanic,TRUE,TRUE,-1.37586341
3,441.4062734,56.00359998,49.66632368,63.03340113,57,Other,TRUE,TRUE,1.748070218
3,725.2628844,3978.190564,3888.548178,4069.661342,3950,White,TRUE,TRUE,-0.713685163
3,348.6064664,17.83556794,14.58650851,21.70597779,14,1_10,TRUE,TRUE,-27.39691382
3,489.9952936,145.322651,131.6894116,160.1928078,127,11_20,TRUE,TRUE,-14.42728425
3,648.3791343,1321.624751,1270.277012,1374.805384,1319,21_30,TRUE,TRUE,-0.19899552
3,666.7233249,1348.34046,1297.940636,1400.478135,1368,31_40,TRUE,TRUE,1.437100851
3,625.0099603,970.2209317,927.3695132,1014.829057,916,41_50,TRUE,TRUE,-5.919315686
3,609.6641298,768.8346544,730.8358415,808.5853082,752,51_60,TRUE,TRUE,-2.238650847
3,529.8949168,236.6711366,217.7573471,257.041405,251,61_70,TRUE,TRUE,5.708710518
3,442.4417137,78.41725708,70.08140559,87.62081325,65,71_80,TRUE,TRUE,-20.64193397
3,388.297139,27.14224626,22.52040699,32.59437055,18,81_90,TRUE,TRUE,-50.79025702
3,263.4273972,10,7.995342007,12.43950356,10,91_100,TRUE,TRUE,1.95399E-13
3,732.9715687,4853.778882,4754.343402,4955.054801,4959,base,TRUE,TRUE,2.1218213
4,437.8017455,34594.87638,33972.85512,35227.74478,34981,Female,FALSE,FALSE,1.103809564
4,448.5108656,53831.22371,52882.83395,54795.89326,52843,Male,FALSE,FALSE,-1.870112802
4,179.3756702,502.1185465,429.618143,585.9543553,585,Asian/PI,FALSE,FALSE,14.16776982
4,291.0066589,5003.216268,4761.772041,5256.369496,4825,Black,FALSE,FALSE,-3.693601403
4,324.1708297,8872.750855,8542.278287,9215.370849,9001,Hispanic,FALSE,FALSE,1.424832189
4,203.4850132,882.0441107,790.6280525,983.4602472,1025,Other,FALSE,FALSE,13.94691603
4,457.7831176,73043.26128,72113.46462,73984.54727,72480,White,FALSE,FALSE,-0.777126496
4,156.4246591,202.0366558,152.4209268,265.8434924,260,1_10,FALSE,FALSE,22.29359394
4,249.3975177,2348.450079,2190.15625,2517.646678,2455,11_20,FALSE,FALSE,4.34011899
4,402.1200894,24065.368,23543.35754,24598.40427,23797,21_30,FALSE,FALSE,-1.127738797
4,397.8855163,24568.55324,24037.85441,25110.43897,24309,31_40,FALSE,FALSE,-1.067724886
4,382.1592591,17317.19109,16871.34404,17774.28266,17347,41_50,FALSE,FALSE,0.171839011
4,350.0043535,13318.94171,12935.839,13712.84125,13327,51_60,FALSE,FALSE,0.060465916
4,281.0002498,4600.41617,4374.153874,4837.83697,4439,61_70,FALSE,FALSE,-3.636318311
4,200.8905301,1107.721777,980.1066172,1250.839585,1141,71_80,FALSE,FALSE,2.916584004
4,186.2407633,498.0878183,427.1515369,580.1533577,483,81_90,FALSE,FALSE,-3.123771915
4,77.69152842,68.49564268,37.2493064,124.9933854,66,91_100,FALSE,FALSE,-3.781276784
4,477.3318935,88118.12544,87110.78317,89136.58016,88161,base,FALSE,FALSE,0.048632116
4,550.9626728,35006.45397,34371.38198,35652.73692,35035,Female,FALSE,TRUE,0.081478611
4,516.4460436,53337.44968,52553.53998,54132.53015,52956,Male,FALSE,TRUE,-0.720314372
4,206.6508794,535.3506964,462.6365678,618.9526049,589,Asian/PI,FALSE,TRUE,9.108540504
4,354.0819738,4824.812522,4592.203991,5068.666454,4734,Black,FALSE,TRUE,-1.918304216
4,430.552634,8857.016892,8533.780491,9191.99233,8887,Hispanic,FALSE,TRUE,0.337381661
4,264.6064703,1065.155823,950.8385401,1192.807452,1037,Other,FALSE,TRUE,-2.715122792
4,508.4943481,73715.63416,72701.8726,74742.84318,72862,White,FALSE,TRUE,-1.171576619
4,161.5832693,267.3666823,217.432193,328.2468852,239,1_10,FALSE,TRUE,-11.86890472
4,282.9165861,2474.965438,2308.338097,2653.104439,2331,11_20,FALSE,TRUE,-6.17612347
4,499.6169306,24248.44712,23721.51634,24786.55196,24438,21_30,FALSE,TRUE,0.775648085
4,564.3676503,25201.59703,24620.54503,25795.82772,24177,31_40,FALSE,TRUE,-4.237899766
4,452.7670401,16897.55968,16457.28826,17349.09373,17072,41_50,FALSE,TRUE,1.02179193
4,431.0224722,13410.75636,13019.98003,13812.74265,13384,51_60,FALSE,TRUE,-0.19991303
4,370.6395641,4501.103037,4273.376883,4740.497967,4550,61_70,FALSE,TRUE,1.074658529
4,272.3473306,1169.935733,1055.584113,1296.227527,1166,71_80,FALSE,TRUE,-0.337541425
4,194.7799363,573.401472,487.6293679,673.9316404,502,81_90,FALSE,TRUE,-14.2234008
4,117.3632698,47.24401936,31.80724213,69.52020225,63,91_100,FALSE,TRUE,25.00949308
4,498.9683148,88298.20992,87288.03678,89319.5364,87965,base,FALSE,TRUE,-0.378798291
4,670.6927242,1950.669196,1889.894342,2013.180664,1963,Female,TRUE,FALSE,0.628161159
4,704.4431329,2903.218358,2829.254377,2978.901551,2898,Male,TRUE,FALSE,-0.180067554
4,405.7072576,27.65976338,23.23599301,32.80263172,35,Asian/PI,TRUE,FALSE,20.97210464
4,549.6343567,254.0909766,234.273244,275.3957918,277,Black,TRUE,FALSE,8.270405577
4,583.3516561,457.765915,431.8179049,485.0939728,497,Hispanic,TRUE,FALSE,7.894182097
4,438.8522575,77.63872375,69.38138545,86.74103253,51,Other,TRUE,FALSE,-52.23279166
4,714.4769731,4075.959625,3987.454729,4166.211765,4090,White,TRUE,FALSE,0.343285452
4,342.7204316,16.38153941,12.99777033,20.51011278,9,1_10,TRUE,FALSE,-82.01710457
4,495.782171,121.0021388,109.7859085,133.2561613,134,11_20,TRUE,FALSE,9.699896394
4,657.2662248,1368.57732,1317.52791,1421.383012,1307,21_30,TRUE,FALSE,-4.711348125
4,659.2677793,1329.965071,1280.14869,1381.502511,1287,31_40,TRUE,FALSE,-3.338389339
4,643.3092217,957.167729,916.3843005,999.5622282,944,41_50,TRUE,FALSE,-1.394886541
4,606.9359579,741.5599357,705.7585292,778.9734176,732,51_60,TRUE,FALSE,-1.306002144
4,554.885018,240.286557,221.1462457,260.8839728,262,61_70,TRUE,FALSE,8.287573662
4,443.0075874,69.74533948,62.22114412,78.06505516,69,71_80,TRUE,FALSE,-1.080202139
4,396.5951673,30.2255604,25.21772796,36.10470474,29,81_90,TRUE,FALSE,-4.226070352
4,233.8250256,4.218744656,2.843145601,6.160886664,3,91_100,TRUE,FALSE,-40.62482188
4,735.557928,4722.185175,4625.03115,4821.145304,4907,base,TRUE,FALSE,3.766350627
4,685.2999068,1915.171479,1853.2277,1978.944981,1951,Female,TRUE,TRUE,1.836418279
4,698.094887,2912.762352,2836.040255,2991.319982,2854,Male,TRUE,TRUE,-2.058947151
4,424.322049,33.15012723,27.79404148,39.42018924,31,Asian/PI,TRUE,TRUE,-6.935894285
4,554.4386288,261.3057125,241.7614434,282.2480592,268,Black,TRUE,TRUE,2.497868455
4,576.5324618,514.4791277,484.3793242,546.236199,485,Hispanic,TRUE,TRUE,-6.078170664
4,449.8120876,62.40800467,54.52258541,71.31174087,50,Other,TRUE,TRUE,-24.81600934
4,723.9152557,4057.754149,3966.605958,4150.755463,3906,White,TRUE,TRUE,-3.885154857
4,407.2745248,12.60520906,9.784901776,16.12160837,16,1_10,TRUE,TRUE,21.21744336
4,509.0792555,125.314456,112.9226678,138.9359697,169,11_20,TRUE,TRUE,25.84943432
4,641.6663621,1344.480426,1292.47117,1398.337764,1327,21_30,TRUE,TRUE,-1.317289089
4,659.3438322,1363.31591,1312.426456,1415.957491,1260,31_40,TRUE,TRUE,-8.199675431
4,636.6079099,963.390508,922.1265942,1006.294819,927,41_50,TRUE,TRUE,-3.925621141
4,611.026774,758.5711653,722.3666221,796.3853347,701,51_60,TRUE,TRUE,-8.212719726
